"subj_id","left_word","left_number","middle_word","middle_number","right_word","right_number","correct_choice_position","is_catch_trial","participant_response_position_e2","is_consistent","trial_num","chose_gems","chose_onlystones","chose_other","response_position","stoneposition","chose_gems_p2","chose_onlystones_p2","chose_other_p2","response_position_p2","correct_choice_position_p2","rt","rt_p2","mentioned_rule"
"66dcc0e54f44ccecf2730c76","Hoop",5,"Ice Cream",3,"Helicopter",3,"right",FALSE,"left",FALSE,13,FALSE,FALSE,TRUE,"middle","left",FALSE,TRUE,FALSE,"left","right",3714.59999999963,3372.79999999981,TRUE
"60fac7ec133b6bf250d6d668","Battery",3,"Sandwich",1,"Balloons",1,"left",FALSE,"left",TRUE,13,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",2264.59999999404,4781.60000002384,FALSE
"5e459f61418f610891628564","Shoes",1,"Kangaroo",4,"Stove",4,"left",FALSE,"middle",TRUE,13,FALSE,FALSE,TRUE,"middle","right",FALSE,FALSE,TRUE,"middle","left",2503.89999985695,1153.70000004768,FALSE
"5e89ec793c01b3685a00bb12","Flower",2,"Bread",2,"Dress",2,"right",FALSE,"right",TRUE,13,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",1795.90000003576,1270,FALSE
"631d197eba06364cbea7fab2","Arm",3,"Teapot",4,"Rock",4,"left",FALSE,"left",TRUE,13,TRUE,FALSE,FALSE,"left","middle",TRUE,FALSE,FALSE,"left","left",2587.10000014305,1576.40000009537,TRUE
"61656042f505fd7fa53e8628","Princess",2,"Napkin",3,"Shovel",3,"middle",FALSE,"middle",TRUE,9,TRUE,FALSE,FALSE,"middle","left",TRUE,FALSE,FALSE,"middle","middle",1210.19999999925,1338.39999999851,FALSE
"66fd3f6c93c24ecc119be354","Waffle",4,"Sandwich",4,"Shampoo",4,"middle",FALSE,"right",FALSE,13,FALSE,TRUE,FALSE,"left","left",FALSE,FALSE,TRUE,"right","middle",1340,1065,TRUE
"5af1a4bc6e136b0001411714","Chopsticks",5,"Bead",1,"Underwear",1,"right",FALSE,"left",TRUE,13,FALSE,FALSE,TRUE,"left","middle",FALSE,FALSE,TRUE,"left","right",2005,2431.30000000075,FALSE
"60ed501279c68ea1a313d0aa","Movie",3,"Camera",4,"Pajamas",4,"left",FALSE,"right",FALSE,13,FALSE,FALSE,TRUE,"middle","right",FALSE,TRUE,FALSE,"right","left",3114.70000076294,3021.70000076294,FALSE
"5bf2f728bd9f150001f6cc42","Curtain",5,"Sunglasses",4,"Tissue",4,"left",FALSE,"middle",FALSE,13,TRUE,FALSE,FALSE,"left","middle",FALSE,TRUE,FALSE,"middle","left",2012.59999999998,1822.5,FALSE
"59a734ce0c87a000017481ed","Flower",3,"Knee",2,"Bird",2,"middle",FALSE,"left",FALSE,13,FALSE,TRUE,FALSE,"right","right",FALSE,FALSE,TRUE,"left","middle",1842.30000001192,1472.29999995232,FALSE
"615e420a23219efe3427a367","Napkin",2,"Bear",1,"Cereal",1,"left",FALSE,"left",TRUE,13,TRUE,FALSE,FALSE,"left","right",TRUE,FALSE,FALSE,"left","left",4411.60000014305,4748.70000004768,FALSE
"66b244a2f436437d3e109bbe","Cat",4,"Triangle",1,"Boat",1,"middle",FALSE,"middle",FALSE,13,FALSE,TRUE,FALSE,"right","right",TRUE,FALSE,FALSE,"middle","middle",1926.59999990463,1758.70000004768,TRUE
"5f1b05a8703c380d1393bb27","Spaghetti",4,"Bone",3,"Swing",3,"middle",FALSE,"left",TRUE,13,FALSE,FALSE,TRUE,"left","right",FALSE,FALSE,TRUE,"left","middle",1323,2313,FALSE
"6684497541f835bd67a199b2","Fingers",5,"Swing",3,"Pie",3,"right",FALSE,"right",FALSE,13,FALSE,FALSE,TRUE,"middle","left",TRUE,FALSE,FALSE,"right","right",1202,2042,FALSE
